Region,Country/ Territory,Data collection,Year,Received
Africa,Madagascar,IDS,2020,0
Africa,Madagascar,IDS,2021,0
Africa,Madagascar,IDS,2022,0
Africa,Madagascar,UN-CTS,2019,0
Africa,Madagascar,UN-CTS,2020,0
Africa,Madagascar,UN-CTS,2021,0
Africa,Madagascar,UN-CTS,2022,0
Africa,Madagascar,UN-IAFQ,2019,0
Africa,Madagascar,UN-IAFQ,2020,0
Africa,Madagascar,UN-IAFQ,2021,0
Africa,Madagascar,UN-IAFQ,2022,0
Africa,Malawi,ARQ,2019,0
Africa,Malawi,ARQ,2020,0
Africa,Malawi,ARQ,2021,0
Africa,Malawi,ARQ,2022,0
Africa,Malawi,GLOTIP,2019,0
Africa,Malawi,GLOTIP,2020,0
Africa,Malawi,GLOTIP,2021,0
Africa,Malawi,GLOTIP,2022,0
Africa,Malawi,IDS,2019,0
Africa,Malawi,IDS,2020,0
Africa,Malawi,IDS,2021,0
Africa,Malawi,IDS,2022,0
Africa,Malawi,UN-CTS,2019,0
Africa,Malawi,UN-CTS,2020,0
Africa,Malawi,UN-CTS,2021,0
Africa,Malawi,UN-CTS,2022,0
Africa,Malawi,UN-IAFQ,2019,0
Africa,Malawi,UN-IAFQ,2020,0
Africa,Malawi,UN-IAFQ,2021,0
Africa,Malawi,UN-IAFQ,2022,0
Africa,Mali,ARQ,2019,0
Africa,Mali,ARQ,2020,0
Africa,Mali,ARQ,2021,0
Africa,Mali,ARQ,2022,1
Africa,Mali,GLOTIP,2019,0
Africa,Mali,GLOTIP,2020,0
Africa,Mali,GLOTIP,2021,0
Africa,Mali,GLOTIP,2022,0
Africa,Mali,IDS,2019,0
Africa,Mali,IDS,2020,0
Africa,Mali,IDS,2021,0
Africa,Mali,IDS,2022,0
Africa,Mali,UN-CTS,2019,0
Africa,Mali,UN-CTS,2020,0
Africa,Mali,UN-CTS,2021,0
Africa,Mali,UN-CTS,2022,0
Africa,Mali,UN-IAFQ,2019,1
Africa,Mali,UN-IAFQ,2020,0
Africa,Mali,UN-IAFQ,2021,0
Africa,Mali,UN-IAFQ,2022,0
Africa,Mauritania,ARQ,2019,0
Africa,Mauritania,ARQ,2020,0
Africa,Mauritania,ARQ,2021,0
Africa,Mauritania,ARQ,2022,0
Africa,Mauritania,GLOTIP,2019,0
Africa,Mauritania,GLOTIP,2020,0
Africa,Mauritania,GLOTIP,2021,0
Africa,Mauritania,GLOTIP,2022,0
Africa,Mauritania,IDS,2019,0
Africa,Mauritania,IDS,2020,0
Africa,Mauritania,IDS,2021,0
Africa,Mauritania,IDS,2022,0
Africa,Mauritania,UN-CTS,2019,0
Africa,Mauritania,UN-CTS,2020,0
Africa,Mauritania,UN-CTS,2021,0
